,Name,Year,Age,Tm,Pos,No.,G,GS,AV,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd,Rec,R/G,Y/G,Att,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Int,PD,FF,FR,Sk,Sfty,Comb,Solo,Ast,TFL,QBHits,Awards,Player ID,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,Blck
0,Sid Abramowitz,1983,23.0,BAL,T,74.0,14,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sid Abramowitz,1984,24.0,SEA,T,69.0,4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sid Abramowitz,1985,25.0,NYJ,T,69.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sid Abramowitz,1987,27.0,IND,T,69.0,3,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tom Ackerman,1996,24.0,NOR,C,69.0,2,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tom Ackerman,1997,25.0,NOR,C,69.0,14,0.0,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tom Ackerman,1998,26.0,NOR,C,69.0,15,10.0,4.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tom Ackerman,1999,27.0,NOR,LG,69.0,16,8.0,4.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tom Ackerman,2000,28.0,NOR,C,69.0,15,0.0,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tom Ackerman,2001,29.0,NOR,C,69.0,16,0.0,1.0,,,0.0,,,2.0,11.0,0.0,11.0,5.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tom Ackerman,2002,30.0,TEN,G,67.0,11,3.0,2.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tom Ackerman,2003,31.0,TEN,C,67.0,16,0.0,2.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ed Adamchik,1965,24.0,2TM,C,,4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bill Adams,1972,22.0,BUF,G,60.0,6,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bill Adams,1974,24.0,BUF,G,60.0,8,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bill Adams,1975,25.0,BUF,G,60.0,6,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bill Adams,1976,26.0,BUF,G,60.0,11,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bill Adams,1977,27.0,BUF,G,60.0,9,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bill Adams,1978,28.0,BUF,G,60.0,6,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bob Adams,1969,23.0,PIT,TE,85.0,14,1.0,1.0,,80.0,0.0,19.0,13.3,,,0.0,,,,6.0,0.4,5.7,,,,,6.0,13.3,80.0,0.0,0.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bob Adams,1970,24.0,PIT,TE,85.0,14,2.0,0.0,,36.0,0.0,17.0,12.0,,,0.0,,,,3.0,0.2,2.6,,,,,3.0,12.0,36.0,0.0,0.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bob Adams,1971,25.0,PIT,TE,85.0,14,14.0,2.0,,160.0,0.0,21.0,8.0,,,0.0,,,,20.0,1.4,11.4,,,,,20.0,8.0,160.0,0.0,1.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bob Adams,1973,27.0,NWE,TE,80.0,12,5.0,2.0,,197.0,0.0,30.0,14.1,,7.0,0.0,4.0,,,14.0,1.2,16.4,2.0,3.5,0.6,0.2,16.0,12.8,204.0,0.0,0.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bob Adams,1974,28.0,NWE,TE,80.0,13,7.0,4.0,,244.0,0.0,29.0,14.4,,,0.0,,,,17.0,1.3,18.8,,,,,17.0,14.4,244.0,0.0,0.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bob Adams,1975,29.0,DEN,T,81.0,2,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bob Adams,1976,30.0,ATL,TE,81.0,13,0.0,0.0,,15.0,0.0,15.0,15.0,,,0.0,,,,1.0,0.1,1.2,,,,,1.0,15.0,15.0,0.0,0.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Brent Adams,1975,23.0,ATL,LT,61.0,13,11.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
