,Name,Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Att,Yds.1,TD.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,Player ID,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,Ret,Rt,Y/Rt,APYd,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jerell Adams,2016.0,24.0,NYG,TE,89.0,13.0,2.0,16.0,122.0,7.6,1.0,14.0,1.2,9.4,,,0.0,,,,,16.0,7.6,122.0,1.0,1.0,1.0,21.0,8.0,57.1,76.2%,5.8,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jerell Adams,2017.0,25.0,NYG,TE,89.0,16.0,1.0,8.0,92.0,11.5,0.0,38.0,0.5,5.8,,,0.0,,,,,8.0,11.5,92.0,0.0,0.0,1.0,11.0,5.0,72.7,72.7%,8.4,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jerell Adams,2019.0,27.0,HOU,TE,89.0,1.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kyle Adams,2011.0,23.0,CHI,TE,86.0,8.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kyle Adams,2012.0,24.0,CHI,TE,86.0,15.0,2.0,4.0,40.0,10.0,0.0,17.0,0.3,2.7,,,0.0,,,,,4.0,10.0,40.0,0.0,0.0,0.0,8.0,2.0,37.5,50.0%,5.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
